,,,,,,,,,,
구분,요구ID,기능ID,페이지,주기능,상세기능,설명,중요도,작업소요,비고,체크사항
00. 초기,MAIN_00,MAIN_00_INIT_000,,1. 스플래쉬,초기 화면,서비스를 시작하면 가장 먼저 보는 초기 화면,필수,하,,
,MAIN_00,MAIN_00_INIT_001,,2. 권한 인증,카메라 권한 인증,모바일 디바이스에서 카메라 사용 권한 받기,필수,중,권한 거부 시 서비스 종료,
01. 로그인,LOGIN_01,LOGIN_01_SIGN_001,login.html,1. 로그인,,회원가입 정보를 이용한 로그인,필수,,,
,,LOGIN_01_SIGN_002,login.html,2. 로그인 실패,"아이디 or 비밀번호가 틀렸을 때 아이디 or 비밀번호 미입력",아이디 /비밀번호를 확인해달라는 멘트를 동일하게 보여줌,필수,,,
,,LOGIN_01_SNS_001,login.html,2. SNS 로그인,,sns연동을 통한 로그인,하,,https://velog.io/@devmin/kakao-login-basic,
02. 회원가입,LOGIN_01,LOGIN_01_SIGNUP_000,singup.html,1. 회원 가입,,"서비스 이용을 위한 회원가입 아이디, 비밀번호, 닉네임의 항목 + 비밀번호 확인",상,중,항목 조건 잘못될 시 경고문구 바로 보여주기,
03. 메인,MAIN_01,MAIN_01_CHARCTER_001,index.html,1. 캐릭터 노출,캐릭터 노출,"사용자의 운동 진행을 나타내는 캐릭터 노출 사용자의 운동 수준에 따라 level 개념 적용한 캐릭터 사용(상,하체 구분 미실시)",필수,,진행에 비례하여 캐릭터 변화,
,,MAIN_01_SCORE_001,index.html,2. 기록 확인,기록 노출,가장 최근에 진행한 기록을 노출,필수,,데이터베이스를 통해 간단한 노출,
,,MAIN_01_COUPON_001,index.html,3. 쿠폰 수량 노출,친구 근육뺏는 쿠폰수량 노출,따로 연결된 링크 없이 아이콘으로 확인만 실시,필수,,데이터베이스를 통해 간단한 노출,
,,MAIN_01_SETTING_001,index.html,4. 설정 페이지 이동,설정 페이지 이동,설정페이지로 연결되는 아이콘,필수,,설정 페이지로 단순 이동,
04. 알림창,NOTICE_01,NOTICE_01_ATTACK_001,notice.html,1. 근육 빼았김,알림 노출,근육 빼았겼을 때 알림 메세지 노출,중,,"친구가 근육을 뺏었을때 알림 ’00님이 공격하였습니다’",
,,NOTICE_01_WARNING_001,notice.html,2. 운동 안한지 오래됨,알림 노출,운동 안한지 오래 되었을 때 알림 노출,하,,"운동 1주일 미실시한 경우 알림  ’00일동안 운동을 미실시하였습니다’",
05. 운동 이력 확인,RECORD_01,RECORD_01_VIEW_001,view.html,1. 운동 월별 기록 확인,"상체, 하체기록 따로 and 친구의 공격 기록",월별 운동 기록을 확인,상,,"캘린더 적용  (캘린더 불가능시 → 최근 몇개 데이터만 리스트로)",확인필요
06. 친구,FD_01,FD_01_LIST_01,list.html,1. 친구 목록,친구 캐릭터 작게 보여지기 구경하기,친구 리스트 확인,필수,,친구 없을 경우 친구 추가 버튼과 함께 멘트 추가,
,,FD_01_ADD_01,friend_list.html,2. 친구 추가 페이지 이동,페이지 이동,친구 추가 페이지 이동,필수,,클릭 시 friend_add.html 로 이동,
